SNR_121	23:57:45.4	−32:34:46.3	101.4 ± 0.4	–	−0.64 ± 0.00	−0.65 ± 0.01	–	2.45	n	y	n	n	n	22.57 ± 0.59
SNR_122	23:57:45.4	−32:35:48.3	9.1 ± 0.1	–	−0.45 ± 0.02	−0.63 ± 0.02	–	1.04	n	y	n	n	n	29.36 ± 0.75
SNR_123	23:57:45.5	−32:34:57.9	3.2 ± 0.1	–	−0.58 ± 0.05	−0.62 ± 0.06	–	0.98	n	y	n	n	n	23.36 ± 0.74
SNR_124	23:57:45.5	−32:34:55.7	21.2 ± 0.2	–	−0.56 ± 0.01	−0.59 ± 0.01	–	1.34	n	y	n	n	n	22.61 ± 0.65
SNR_125	23:57:45.6	−32:34:59.9	5.5 ± 0.1	–	−0.50 ± 0.02	−0.74 ± 0.02	–	0.80	n	y	n	n	n	19.98 ± 0.54
SNR_126	23:57:45.7	−32:35:01.6	64.9 ± 0.3	23.82 ± 0.15	0.03 ± 0.00	−0.30 ± 0.01	0.39 ± 0.01	1.67	y	y	y	y	y	58.00 ± 2.46
SNR_127	23:57:45.8	−32:34:48.2	3.3 ± 0.1	–	−0.62 ± 0.03	−0.81 ± 0.03	–	0.80	n	y	n	n	n	24.34 ± 0.63
SNR_128	23:57:45.9	−32:35:03.5	12.1 ± 0.3	4.18 ± 0.21	−0.18 ± 0.03	−0.43 ± 0.04	0.35 ± 0.07	1.38	y	y	y	y	y	34.23 ± 0.89
SNR_129	23:57:45.9	−32:34:57.7	1.8 ± 0.1	–	−0.65 ± 0.06	−0.57 ± 0.07	–	0.80	n	y	n	n	n	30.48 ± 1.20
SNR_130	23:57:46.2	−32:34:59.9	20.7 ± 0.2	–	−0.61 ± 0.01	−0.78 ± 0.01	–	0.80	n	y	n	n	n	36.07 ± 1.33
SNR_131	23:57:46.5	−32:35:46.3	12.0 ± 0.4	–	−0.63 ± 0.04	−0.53 ± 0.05	–	1.17	n	y	n	n	n	28.06 ± 0.93
